year,donor_code,donor,currency,value,prices,iso_code
2020,55,Turkey,usd,0.061676202,constant,TUR
2020,62,Croatia,usd,2.560765931,constant,HRV
2017,83,Latvia,usd,0.419479382,constant,LVA
2018,742,Korea,usd,1.801907089,constant,KOR
2021,742,Korea,usd,0.53,constant,KOR
2012,18,Finland,usd,24.15840392,constant,FIN
2014,45,Malta,usd,,constant,MLT
2014,7,Netherlands,usd,945.266307,constant,NLD
2013,69,Slovak Republic,usd,0.93848637,constant,SVK
2012,12,United Kingdom,usd,46.94169514,constant,GBR
2014,5,Germany,usd,174.3211564,constant,DEU
2012,7,Netherlands,usd,359.1461382,constant,NLD
2014,20,Iceland,usd,2.964814779,constant,ISL
2013,40,Greece,usd,18.89392453,constant,GRC
2021,7,Netherlands,usd,410.39,constant,NLD
2015,68,Czech Republic,usd,19.1096419,constant,CZE
2011,3,Denmark,usd,115.4934111,constant,DNK
2021,55,Turkey,usd,61.73,constant,TUR
2015,18,Finland,usd,45.21058258,constant,FIN
2018,3,Denmark,usd,70.49349859,constant,DNK
2016,2,Belgium,usd,442.7447276,constant,BEL
2017,18,Finland,usd,87.44383078,constant,FIN
2012,61,Slovenia,usd,0.273164827,constant,SVN
2017,820,New Zealand,usd,18.97490755,constant,NZL
2019,21,Ireland,usd,86.55317377,constant,IRL
2020,3,Denmark,usd,60.53928198,constant,DNK
2016,18,Finland,usd,151.1037367,constant,FIN
2018,76,Poland,usd,6.525859485,constant,POL
2015,4,France,usd,413.5785155,constant,FRA
2012,1,Austria,usd,62.15913556,constant,AUT
2015,82,Estonia,usd,0.628858984,constant,EST
2017,68,Czech Republic,usd,27.31423541,constant,CZE
2012,10,Sweden,usd,538.2735794,constant,SWE
2016,50,Spain,usd,101.0315352,constant,ESP
2019,18,Finland,usd,98.42890788,constant,FIN
2011,2,Belgium,usd,127.9000068,constant,BEL
