year,donor_code,donor,currency,value,prices,iso_code
2015,84,Lithuania,usd,0.8,current,LTU
2016,3,Denmark,usd,411.55,current,DNK
2017,301,Canada,usd,466.94,current,CAN
2019,10,Sweden,usd,262.59,current,SWE
2017,9,Portugal,usd,5.75,current,PRT
2011,8,Norway,usd,263.2,current,NOR
2015,45,Malta,usd,2.59,current,MLT
2018,84,Lithuania,usd,1.22,current,LTU
2013,1,Austria,usd,63.26,current,AUT
2016,75,Hungary,usd,9.82,current,HUN
2016,12,United Kingdom,usd,574.03,current,GBR
2020,5,Germany,usd,2630.84,current,DEU
2011,40,Greece,usd,25.4,current,GRC
2017,8,Norway,usd,149.88,current,NOR
2014,21,Ireland,usd,0.33,current,IRL
2016,76,Poland,usd,5.78,current,POL
2018,68,Czech Republic,usd,24.99,current,CZE
2011,801,Australia,usd,0.02,current,AUS
2018,83,Latvia,usd,1.16,current,LVA
2013,7,Netherlands,usd,372.705,current,NLD
2015,2,Belgium,usd,228.11,current,BEL
2017,72,Bulgaria,usd,4.21,current,BGR
2013,20,Iceland,usd,0.31,current,ISL
2020,82,Estonia,usd,0.61,current,EST
2013,68,Czech Republic,usd,8.93632,current,CZE
2015,76,Poland,usd,9.29,current,POL
2018,18,Finland,usd,56.96,current,FIN
2020,77,Romania,usd,0.47,current,ROU
2021,68,Czech Republic,usd,6.3,current,CZE
2021,5,Germany,usd,2689.59,current,DEU
2012,5,Germany,usd,75.94,current,DEU
2014,82,Estonia,usd,0.3,current,EST
2017,77,Romania,usd,0.06,current,ROU
2017,84,Lithuania,usd,1.21,current,LTU
2017,7,Netherlands,usd,835.44,current,NLD
2017,76,Poland,usd,5.94,current,POL
2019,69,Slovak Republic,usd,0.87,current,SVK
2020,61,Slovenia,usd,2.69,current,SVN
2017,55,Turkey,usd,14.17,current,TUR
2017,82,Estonia,usd,2.66,current,EST
2014,4,France,usd,485.11,current,FRA
2014,61,Slovenia,usd,0.08,current,SVN
2015,6,Italy,usd,983.03,current,ITA
2013,701,Japan,usd,0.63,current,JPN
2011,9,Portugal,usd,0.37,current,PRT
2020,7,Netherlands,usd,561.59,current,NLD
2018,10,Sweden,usd,524.75,current,SWE
2020,1,Austria,usd,30.86,current,AUT
2013,4,France,usd,452.82,current,FRA
2020,50,Spain,usd,194.62,current,ESP
2016,82,Estonia,usd,2.48,current,EST
2021,8,Norway,usd,52.25,current,NOR
2012,4,France,usd,506.94,current,FRA
2020,30,Cyprus,usd,0.04,current,CYP
2014,8,Norway,usd,278.73,current,NOR
2015,62,Croatia,usd,1.32,current,HRV
2017,75,Hungary,usd,3.34,current,HUN
2015,3,Denmark,usd,396.97,current,DNK
2011,12,United Kingdom,usd,31.3,current,GBR
2018,7,Netherlands,usd,574.2,current,NLD
2011,701,Japan,usd,0.71,current,JPN
2014,77,Romania,usd,0.07,current,ROU
2017,4,France,usd,622.65,current,FRA
2019,301,Canada,usd,475.89,current,CAN
2018,75,Hungary,usd,3.65,current,HUN
2019,11,Switzerland,usd,283.65,current,CHE
2016,820,New Zealand,usd,16.78,current,NZL
2019,8,Norway,usd,59.54,current,NOR
2015,77,Romania,usd,0.08,current,ROU
2011,302,United States,usd,731.74,current,USA
2016,701,Japan,usd,0.24,current,JPN
2018,6,Italy,usd,1124.71,current,ITA
2016,302,United States,usd,1701.81,current,USA
2017,302,United States,usd,1456.25,current,USA
2020,55,Turkey,usd,0.05,current,TUR
2020,62,Croatia,usd,2.42,current,HRV
2017,83,Latvia,usd,0.37,current,LVA
2018,742,Korea,usd,1.83,current,KOR
2021,742,Korea,usd,0.53,current,KOR
2012,18,Finland,usd,22.8225,current,FIN
2014,45,Malta,usd,10.71,current,MLT
2014,7,Netherlands,usd,935.38,current,NLD
2013,69,Slovak Republic,usd,0.96,current,SVK
2012,12,United Kingdom,usd,44.96,current,GBR
2014,5,Germany,usd,171.36,current,DEU
2012,7,Netherlands,usd,339.12,current,NLD
2014,20,Iceland,usd,2.55,current,ISL
2013,40,Greece,usd,21.36,current,GRC
2021,7,Netherlands,usd,410.39,current,NLD
2015,68,Czech Republic,usd,14.11,current,CZE
2011,3,Denmark,usd,121.222,current,DNK
2021,55,Turkey,usd,61.73,current,TUR
2015,18,Finland,usd,39.04,current,FIN
2018,3,Denmark,usd,67.17,current,DNK
2016,2,Belgium,usd,376.02,current,BEL
2017,18,Finland,usd,77.43,current,FIN
2012,61,Slovenia,usd,0.26,current,SVN
2017,820,New Zealand,usd,17.41,current,NZL
2019,21,Ireland,usd,83.51,current,IRL
2020,3,Denmark,usd,57.38,current,DNK
2016,18,Finland,usd,130.19,current,FIN
2018,76,Poland,usd,6.25,current,POL
2015,4,France,usd,363.35,current,FRA
2012,1,Austria,usd,57.58,current,AUT
2015,82,Estonia,usd,0.53,current,EST
2017,68,Czech Republic,usd,21.73,current,CZE
2012,10,Sweden,usd,570.71,current,SWE
2016,50,Spain,usd,88.55,current,ESP
2019,18,Finland,usd,89.59,current,FIN
2011,2,Belgium,usd,126.83,current,BEL
2013,50,Spain,usd,23.46146256,constant,ESP
2019,4,France,usd,1320.102944,constant,FRA
2020,6,Italy,usd,241.0789239,constant,ITA
2012,55,Turkey,usd,78.49895038,constant,TUR
2013,11,Switzerland,usd,449.9776879,constant,CHE
2012,6,Italy,usd,249.3951216,constant,ITA
2018,61,Slovenia,usd,2.601786613,constant,SVN
2020,10,Sweden,usd,165.2393919,constant,SWE
2012,68,Czech Republic,usd,10.76123503,constant,CZE
2014,62,Croatia,usd,3.699048919,constant,HRV
2015,11,Switzerland,usd,525.7618416,constant,CHE
2016,45,Malta,usd,,constant,MLT
2012,8,Norway,usd,184.9020142,constant,NOR
2012,9,Portugal,usd,0.882428471,constant,PRT
2016,7,Netherlands,usd,519.3875923,constant,NLD
2021,701,Japan,usd,0.27,constant,JPN
2013,6,Italy,usd,390.5362929,constant,ITA
2016,576,United Arab Emirates,usd,,constant,ARE
2016,21,Ireland,usd,1.185786121,constant,IRL
2012,2,Belgium,usd,134.5402916,constant,BEL
2015,12,United Kingdom,usd,405.0143038,constant,GBR
2019,701,Japan,usd,0.328588475,constant,JPN
2019,5,Germany,usd,3356.87099,constant,DEU
2018,40,Greece,usd,28.54591528,constant,GRC
2019,83,Latvia,usd,1.135556128,constant,LVA
2019,68,Czech Republic,usd,7.067637777,constant,CZE
2013,21,Ireland,usd,0.039866636,constant,IRL
2018,9,Portugal,usd,10.00237237,constant,PRT
2014,9,Portugal,usd,0.920240345,constant,PRT
2019,55,Turkey,usd,13.05169916,constant,TUR
2013,9,Portugal,usd,1.570359668,constant,PRT
2020,20,Iceland,usd,6.338390253,constant,ISL
2020,302,United States,usd,1566.61602,constant,USA
2013,5,Germany,usd,143.7323217,constant,DEU
2012,701,Japan,usd,0.571177631,constant,JPN
2018,301,Canada,usd,575.736069,constant,CAN
2015,9,Portugal,usd,3.295352007,constant,PRT
2016,68,Czech Republic,usd,23.96699208,constant,CZE
2018,4,France,usd,840.3924027,constant,FRA
2019,76,Poland,usd,6.271493493,constant,POL
2013,801,Australia,usd,312.6241379,constant,AUS
2018,8,Norway,usd,106.282655,constant,NOR
2021,76,Poland,usd,16.88,constant,POL
2017,45,Malta,usd,,constant,MLT
2018,82,Estonia,usd,2.716384176,constant,EST
2014,301,Canada,usd,218.8046475,constant,CAN
2012,40,Greece,usd,17.899634,constant,GRC
2018,20,Iceland,usd,10.75212032,constant,ISL
2019,742,Korea,usd,1.482963122,constant,KOR
2021,83,Latvia,usd,1.82,constant,LVA
2019,45,Malta,usd,,constant,MLT
2014,69,Slovak Republic,usd,0.970321985,constant,SVK
2018,11,Switzerland,usd,303.1286183,constant,CHE
2019,3,Denmark,usd,59.402878,constant,DNK
2014,10,Sweden,usd,1019.649911,constant,SWE
2020,18,Finland,usd,63.36677173,constant,FIN
2012,801,Australia,usd,132.5196825,constant,AUS
2020,701,Japan,usd,0.309342202,constant,JPN
2018,2,Belgium,usd,260.9269349,constant,BEL
2016,8,Norway,usd,956.9519041,constant,NOR
2021,3,Denmark,usd,51.59,constant,DNK
2011,1,Austria,usd,42.76124184,constant,AUT
2020,301,Canada,usd,724.9510133,constant,CAN
2021,301,Canada,usd,463.6,constant,CAN
2021,40,Greece,usd,1.09,constant,GRC
2018,1,Austria,usd,65.34768039,constant,AUT
2019,77,Romania,usd,0.413245217,constant,ROU
2014,11,Switzerland,usd,479.7978934,constant,CHE
2011,68,Czech Republic,usd,12.1509315,constant,CZE
2015,20,Iceland,usd,5.848923761,constant,ISL
2014,12,United Kingdom,usd,214.7025664,constant,GBR
2020,4,France,usd,1279.607802,constant,FRA
2014,75,Hungary,usd,10.80766989,constant,HUN
2013,18,Finland,usd,20.83601594,constant,FIN
2021,12,United Kingdom,usd,1234.74,constant,GBR
2020,12,United Kingdom,usd,870.5022514,constant,GBR
2020,21,Ireland,usd,38.90500275,constant,IRL
2016,84,Lithuania,usd,1.790613061,constant,LTU
2017,61,Slovenia,usd,1.067249489,constant,SVN
2016,10,Sweden,usd,919.0575296,constant,SWE
2015,8,Norway,usd,523.7725771,constant,NOR
2014,1,Austria,usd,110.2727487,constant,AUT
2019,820,New Zealand,usd,18.32787504,constant,NZL
2014,302,United States,usd,1420.248555,constant,USA
2020,75,Hungary,usd,2.83353161,constant,HUN
2017,50,Spain,usd,239.6737618,constant,ESP
2016,83,Latvia,usd,2.093998836,constant,LVA
2017,10,Sweden,usd,906.7452915,constant,SWE
2021,6,Italy,usd,556.1,constant,ITA
2012,301,Canada,usd,252.7781217,constant,CAN
2013,3,Denmark,usd,156.52003,constant,DNK
2016,69,Slovak Republic,usd,1.895333458,constant,SVK
2017,3,Denmark,usd,129.2665385,constant,DNK
2018,5,Germany,usd,4144.310166,constant,DEU
2019,20,Iceland,usd,8.24471975,constant,ISL
2019,9,Portugal,usd,8.343416235,constant,PRT
2017,6,Italy,usd,1981.475711,constant,ITA
2014,40,Greece,usd,19.21708483,constant,GRC
2017,1,Austria,usd,172.807875,constant,AUT
2019,7,Netherlands,usd,546.3854618,constant,NLD
2017,21,Ireland,usd,43.94750802,constant,IRL
2021,820,New Zealand,usd,8.91,constant,NZL
2015,7,Netherlands,usd,1589.818614,constant,NLD
2016,77,Romania,usd,0.373856567,constant,ROU
2021,2,Belgium,usd,250.71,constant,BEL
2014,3,Denmark,usd,245.2394988,constant,DNK
2015,302,United States,usd,1357.05061,constant,USA
2020,76,Poland,usd,7.062746679,constant,POL
2012,21,Ireland,usd,0.134788386,constant,IRL
2020,9,Portugal,usd,10.20667967,constant,PRT
2020,68,Czech Republic,usd,6.180061843,constant,CZE
2019,302,United States,usd,1978.46899,constant,USA
2019,61,Slovenia,usd,2.453943274,constant,SVN
2020,820,New Zealand,usd,9.240665017,constant,NZL
2019,2,Belgium,usd,152.4470967,constant,BEL
2011,50,Spain,usd,31.99076786,constant,ESP
2018,45,Malta,usd,,constant,MLT
2013,301,Canada,usd,202.9421485,constant,CAN
2012,50,Spain,usd,22.53527968,constant,ESP
2013,8,Norway,usd,216.905181,constant,NOR
2021,9,Portugal,usd,9.31,constant,PRT
2016,11,Switzerland,usd,752.1987037,constant,CHE
2020,45,Malta,usd,,constant,MLT
2017,5,Germany,usd,6923.593803,constant,DEU
2013,2,Belgium,usd,159.6377386,constant,BEL
2013,61,Slovenia,usd,0.100112179,constant,SVN
2019,84,Lithuania,usd,1.348524868,constant,LTU
2011,10,Sweden,usd,446.2171383,constant,SWE
2015,21,Ireland,usd,0.685482219,constant,IRL
2015,701,Japan,usd,0.245502052,constant,JPN
2016,72,Bulgaria,usd,9.595651889,constant,BGR
2020,22,Luxembourg,usd,0.173712629,constant,LUX
2021,69,Slovak Republic,usd,1.06,constant,SVK
2021,4,France,usd,1151.39,constant,FRA
2020,11,Switzerland,usd,335.7502124,constant,CHE
2012,20,Iceland,usd,0.265176825,constant,ISL
2018,21,Ireland,usd,57.6728334,constant,IRL
2015,820,New Zealand,usd,19.46781511,constant,NZL
2021,20,Iceland,usd,8.76,constant,ISL
